c1,r1
c2,c1,c3,r2
c3,c2,c4,r3
c4,c3,c5,r4
c5,c4,c6,r5
c6,c5,c7,r6
c7,c6,e
e,c7,c8
c8,e,c9,c10
c9,c8,r7
c10,c8,c11,r8
c11,c10,c12,r9
c12,c11,c13,r10
c13,c12,c14,r11
c14,c13,c15,r12
c15,c14,c17,r13
c16,c17,r14
c17,c15,c16,c18
c18,c17,c19
c19,c18,c20
c20,c19,c21,r15
c21,c20,c22,r16
c22,c21,c23,r17
c23,c22,c24,r18
c24,c23,c25,r19
c25,c24,r20
r1,c1
r2,c2
r3,c3
r4,c4
r5,c5
r6,c6
r7,c9
r8,c10
r9,c11
r10,c12
r11,c13
r12,c14
r13,c15
r14,c16
r15,c20
r16,c21
r17,c22
r18,c23
r19,c24
r20,c25
