r327,-37.12,-3.32,0.0,0.010995352723218265,0.0,0.0,-0.9999395492821014
r328,-36.81,-10.8,0.0,0.017103392695130806,0.0,0.0,-0.9998537262811577
r320,-35.95,16.95,0.0,0.9999929595381466,0.0,0.0,0.003752449085438127
r325,-37.51,16.78,0.0,0.017103392695130806,0.0,0.0,-0.9998537262811577
r324,-37.66,20.68,0.0,0.02268733357278134,0.0,0.0,-0.9997426093226984
r323,-37.77,24.46,0.0,0.017103392695130806,0.0,0.0,-0.9998537262811577
r326,-37.38,12.73,0.0,0.017103392695130806,0.0,0.0,-0.9998537262811577
r321,-29.19,0.81,0.0,0.705871570678681,0.0,0.0,0.7083398377245288
r321a,-29.19,0.81,0.0,0.705871570678681,0.0,0.0,0.7083398377245288
r322,-18.54,-1.45,0.0,0.7158755538693995,0.0,0.0,-0.6982278935792959
r321-1,-18.65,0.96,0.0,0.6930873625456359,0.0,0.0,0.7208535967029188
r321c,-33.64,0.63,0.0,0.7013448334039074,0.0,0.0,0.7128221549991592
r322-1,-10.58,-0.99,0.0,0.7112903627557938,0.0,0.0,-0.7028982997921757
r316,-5.67,1.28,0.0,0.697352765719139,0.0,0.0,0.7167280656873063
r316-1,-15.74,1.06,0.0,0.6974153093866755,0.0,0.0,0.7166672074492371
r315,-3.25,1.32,0.0,0.6930244535631982,0.0,0.0,0.7209140772404369
r314,1.36,-6.41,0.0,0.9999385859490778,0.0,0.0,0.011082613868519673
p1,1.0,-10.0,0.0,0.9999385859490778,0.0,0.0,0.011082613868519673
r317-1,-3.33,-6.55,0.0,0.012129740838965022,0.0,0.0,-0.9999264319874636
r317,-3.01,-18.54,0.0,0.012129740838965022,0.0,0.0,-0.9999264319874636
r318,-2.88,-21.73,0.0,0.006719467053775383,0.0,0.0,-0.9999774241264217
r314-1,2.33,-26.67,0.0,0.9999025240093042,0.0,0.0,0.013962180339145272
r312,16.15,-0.31,0.0,0.718793995123929,0.0,0.0,-0.695223124308866
r313,13.12,1.79,0.0,0.687657949242858,0.0,0.0,0.7260348096634947
r311-4,16.08,2.03,0.0,0.7000996564679501,0.0,0.0,0.7140451463412227
r311-3,16.1,2.01,0.0,0.687657949242858,0.0,0.0,0.7260348096634947
r309,31.27,2.5,0.0,0.6925839429378429,0.0,0.0,0.7213372872551861
r310,31.5,-0.15,0.0,0.7020287703127658,0.0,0.0,-0.7121485839718744
r311-1,26.99,2.26,0.0,0.698477738744737,0.0,0.0,0.7156317827472721
r311-2,26.95,2.29,0.0,0.7043245342565062,0.0,0.0,0.7098781236552902
r305,34.99,-1.61,0.0,0.9997677039420864,0.0,0.0,0.021553147203332308
r304,34.5,15.21,0.0,0.9999264319874636,0.0,0.0,0.012129740838965048
r303,34.45,18.78,0.0,0.9999264319874636,0.0,0.0,0.012129740838965048
r302,34.38,22.45,0.0,0.9999264319874636,0.0,0.0,0.012129740838965048
r301,34.27,26.26,0.0,0.999763926980944,0.0,0.0,0.021727639256062147
r307,32.31,26.23,0.0,0.019546442744821205,0.0,0.0,-0.9998089500379678
r307-1,32.41,26.25,0.0,0.017452406437283376,0.0,0.0,-0.9998476951563912
r308,32.74,18.82,0.0,0.01675437686898127,0.0,0.0,-0.9998596355767804
